Go.	Gå!
Hi.	Hej!
Hi.	Hej.
Run!	Løb!
Run.	Løb!
Wow!	Wow!
Fire!	Fyr!
Fire!	Ildebrand!
Help!	Hjælp!
Jump!	Hop!
Jump!	Spring!
Jump.	Hop.
Jump.	Spring!
Stop!	Stop!
Hello!	Hej!
Hello!	Hej.
I see.	Jeg forstår.
I won!	Jeg vandt!
Shoot!	Skyd!
Attack!	Angrib!
Cheers!	Skål!
Go now.	Gå nu!
Got it?	Forstået?
He ran.	Han løb.
Hop in.	Hop ind!
I lied.	Jeg løj.
I lied.	Jeg har løjet.
I sang.	Jeg sang.
No way!	Aldrig i livet!
No way!	Ikke tale om!
No way!	Absolut ikke!
No way!	Under ingen omstændigheder!
No way!	Aldrig i verden!
No way!	Ikke på vilkår!
No way!	Du kan tro nej!
No way!	Du kan bande på nej!
No way!	Niksen biksen!
No way!	Nul, putte!
No way!	Det kan du glemme alt om!
No way!	På ingen måde!
No way!	Det er ikke muligt.
Really?	Virkelig?
Really?	Er det rigtigt?
Really?	Ja så!
Really?	Nej virkelig?
Really?	Så?
Thanks.	Tak!
Thanks.	Mange tak.
Thanks.	Tak.
Why me?	Hvorfor mig?
Ask Tom.	Spørg Tom!
Ask Tom.	Spørg Tom.
Ask him.	Spørg ham.
Be fair.	Vær retfærdig!
Be fair.	Vær fair!
Call me.	Ring til mig.
Come in.	Kom ind!
Get Tom.	Hent Tom.
Go away!	Gå væk!
Go away!	Gå din vej!
Go away!	Forsvind med dig!
Go away.	Forsvind.
Help me!	Hjælp mig!
Help me.	Hjælp mig.
I agree.	Jeg er enig.
I'm shy.	Jeg er genert.
It's me.	Det er mig.
Keep it.	Behold det!
Keep it.	Behold den!
Kiss me.	Kys mig!
Perfect!	Perfekt!
See you!	På gensyn!
See you!	Vi ses!
See you.	Vi ses!
See you.	Vi ses.
Show me.	Vis mig!
Shut up!	Hold mund!
Shut up!	Ti stille!
Shut up!	Klap i!
Shut up!	Hold kæft!
We lost.	Vi tabte.
We lost.	Vi har tabt.
Welcome.	Velkommen!
Welcome.	Velkommen.
You won.	Du vandt.
You won.	Du har vundet.
Be quiet.	Vær stille.
Be quiet.	Ti stille!
Be still.	Vær stille.
Be still.	Vær stille!
Be still.	Vær rolig!
Catch me.	Grib mig!
Catch me.	Fang mig!
Cheer up!	Op med humøret!
Drive on.	Kør videre.
Get away!	Gå væk!
Get lost!	Gå væk!
Get lost!	Smut!
Get lost!	Gå din vej!
Get lost!	Skrid!
Get lost!	Skrub af!
Get lost!	Forsvind!
Get lost!	Ryg og rejs!
Get lost!	Væk!
Get lost.	Forsvind.
Hurry up.	Skynd dig.
I ate it.	Jeg spiste det.
I'm cold.	Jeg fryser.
I'm fair.	Jeg er retfærdig.
I'm fine.	Jeg har det godt.
I'm free.	Jeg er fri.
I'm full.	Jeg er mæt!
I'm full.	Jeg har fået nok!
I'm here.	Jeg er her.
I'm here.	Jeg er her!
I'm high.	Jeg er høj.
I'm high.	Jeg er skæv.
I'm home.	Jeg er hjemme.
I'm lost.	Jeg er faret vild.
I'm poor.	Jeg er fattig.
It's hot.	Det er hedt.
It's new.	Den er ny.
It's new.	Det er nyt.
Leave it.	Lad den være.
Leave it.	Lad det være.
Leave me.	Forlad mig.
Leave us.	Forlad os.
Let's go!	Af sted!
Let's go!	Lad os gå!
Let's go!	Kom, så går vi!
Let's go!	Hæng i!
Look out!	Pas på!
Marry me.	Gift dig med mig.
Sit down!	Sid ned!
Sit down!	Tag plads!
Tom came.	Tom kom.
Tom died.	Tom døde.
Tom lied.	Tom løj.
Tom spit.	Tom spyttede.
Tom wept.	Tom græd.
Trust me.	Stol på mig.
Use this.	Anvend dette.
Use this.	Anvend denne.
Use this.	Anvend den her.
Use this.	Anvend det her.
Warn Tom.	Advar Tom.
We agree.	Vi er enige.
Who's he?	Hvem er han?
Write me.	Skriv til mig.
Write me.	Skriv til mig!
After you.	Efter jer.
After you.	Efter dig.
Aim. Fire!	Sigt. Skyd!
Answer me.	Svar mig.
Birds fly.	Fugle flyver.
Bless you.	Prosit!
Calm down!	Tag det roligt!
Calm down!	Hids dig ned!
Calm down.	Tag det roligt!
Calm down.	Slap af!
Can we go?	Kan vi gå?
Come back.	Kom tilbage!
Cool down.	Slap af!
Do it now.	Gør det nu!
Don't die.	Dø ikke.
Excuse me.	Undskyld mig.
Fantastic!	Fantastisk!
Follow us.	Følg os!
Forget it.	Glem det.
Goodnight.	God nat.
He is ill.	Han er syg.
He's a DJ.	Han er dj.
He's a DJ.	Han er DJ.
Here I am.	Her er jeg.
Hold this.	Hold det her!
I am cold.	Jeg fryser.
I am lost.	Jeg er slet ikke med.
I am sick.	Jeg er syg.
I can fly.	Jeg kan flyve.
I cringed.	Jeg krøb sammen.
I fear so.	Det er jeg bange for.
I laughed.	Jeg lo.
I promise.	Det lover jeg!
I saw him.	Jeg så ham.
I saw you.	Jeg så dig.
I woke up.	Jeg vågnede.
I'd agree.	Jeg er enig.
I'll wait.	Jeg venter.
I'm a fan.	Jeg er en fan.
I'm a fan.	Jeg er fan.
I'm a man.	Jeg er en mand.
I'm a nun.	Jeg er nonne.
I'm a vet.	Jeg er dyrlæge.
I'm a vet.	Jeg er veteran.
I'm angry.	Jeg er vred.
I'm awake.	Jeg er vågen.
I'm bored.	Jeg keder mig.
I'm broke.	Jeg er helt flad.
I'm broke.	Jeg er blottet for penge.
I'm broke.	Jeg er helt blanket af.
I'm broke.	Jeg er bankerot.
I'm clean.	Jeg er ren.
I'm drunk.	Jeg er beruset.
I'm dying.	Jeg dør.
I'm going.	Jeg går.
I'm happy.	Jeg er lykkelig.
I'm sorry.	Undskyld!
I'm sorry.	Jeg beklager!
I'm tired.	Jeg er træt.
I'm tired.	Jeg er træt!
Is it red?	Er det rødt?
Is it red?	Er den rød?
It rained.	Det regnede.
It snowed.	Det sneede.
It's 8:30.	Den er 8:30.
It's 9:15.	Klokken er 9.15
It's cold.	Det er koldt.
It's dark.	Det er mørkt.
It's free.	Det er gratis.
It's hard.	Det er hårdt.
It's ours.	Det er vores.
It's over.	Det er overstået.
It's over.	Det er slut.
It's over.	Det er ovre.
It's true!	Det er sandt!
It's true.	Det er sandt.
Keep them.	Behold dem!
Kill them.	Dræb dem.
Kill them.	Slå dem ihjel.
Let me go!	Lad mig gå!
Let's try!	Lad os forsøge!
Let's try!	Lad os prøve!
Listen up.	Hør efter!
Of course!	Selvfølgelig!
Of course!	Det manglede bare!
Pipe down!	Klap gællerne i!
Pipe down.	Hold mund!
Pipe down.	Ti stille!
Pipe down.	Klap i!
Search me.	Aner det ikke!
Search me.	Visiter mig.
She walks.	Hun går.
She walks.	Hun går til fods.
Start now.	Begynd nu.
Start now.	Start nu.
Stay here.	Bliv her!
Stay here.	Bliv her.
Stay home.	Bliv hjemme.
Stop that!	Hold op med det!
Take mine.	Tag min.
Thank you.	Mange tak.
Thank you.	Tak.
Tom moved.	Tom flyttede.
Tom slept.	Tom sov.
Tom spoke.	Tom talte.
Tom spoke.	Tom har talt.
Tom swims.	Tom svømmer.
Tom voted.	Tom har stemt.
Tom voted.	Tom stemte.
Tom works.	Tom arbejder.
Turn left.	Drej til venstre.
Wait here.	Vent her.
Watch out!	Pas på!
We did it!	Vi gjorde det!
We got it.	Vi har fået den.
We got it.	Vi har fået det.
We got it.	Vi har forstået det.
We waited.	Vi ventede.
We'll see.	Vi får se.
