Iteration:   (1/5)
Sample size: 100
Accuracy:    0.4
GLEU:        0.58
Time:        34.79s

===

Source	Target	Translation	Accuracy	GLEU
Extremists kidnapped the president's wife.	Ekstremister har kidnappet præsidentens kone.	købte en smartphone til min kone.	False	0.05555555555555555
I will always love you.	Jeg vil altid elske dig.	Jeg har altid ønsket at møde MISSING END? "Jeg har hostet hele formiddagen."	False	0.043478260869565216
It's my fault, not yours.	Det er min skyld, ikke din.	Det er bare lidt støvregn.	False	0.16666666666666666
I can't tie my shoes.	Jeg kan ikke binde mine sko.	Jeg tror du har mine sko	False	0.1111111111111111
You came to the right place.	Du er kommet til det rigtige sted.	Du kom til det rigtige sted.	False	0.5
Tom is scared of cooties.	Tom er bange for pigelus.	Tom er temperamentsfuld, er han brudens far.	False	0.13636363636363635
How tall is that tower?	Hvor højt er det tårn?	det sandt at Nilen er den MISSING END? "at Nilen er den længste"	False	0.043478260869565216
This is a well-written article.	Dette er en velskrevet artikel.	Carrey er en meget berømt og MISSING END? "en meget berømt og god"	False	0.06521739130434782
Most people think I'm crazy.	De fleste synes jeg er skør.	Elsker du ham stadig?	False	0.0
I'm going to bed early tonight.	Jeg går tidlig i seng i aften.	Jeg går tidlig i seng i MISSING END? "Jeg vil forlade landet."	False	0.42857142857142855
I do not like wearing anybody else's clothes.	Jeg bryder mig ikke om at gå i en andens tøj.	Jeg bryder mig ikke om at gå i	False	0.6842105263157895
Your name isn't Tom, is it?	Dit navn er ikke Tom, er det vel?	Dit navn er ikke Tom, er	False	0.6923076923076923
When will you go to Australia?	Hvornår skal du til Australien?	Hvornår skal du i skole?	False	0.42857142857142855
Tom doesn't have a dog.	Tom har ikke en hund.	Tom har ikke kørekort.	False	0.42857142857142855
Tom's son's name is John.	Toms søns navn er John.	Aber elsker bananer.	False	0.0
I live in this house by myself.	Jeg bor alene i dette hus.	Jeg lever alene i dette hus.	False	0.6111111111111112
I assume you googled me.	Jeg formoder at du har googlet mig.	er træt af at høre har MISSING END? "Jeg kom til Japan fra"	False	0.043478260869565216
She has a cat and two dogs.	Hun har en kat og to hunde.	Han har en kat og to hunde.	False	0.8181818181818182
Tom has broken something again.	Tom har ødelagt noget igen.	Tom er blevet far.	False	0.07142857142857142
I haven't heard that word in a long time.	Jeg har ikke hørt det ord længe.	Jeg har ikke hørt det ord i lang tid.	False	0.6
We smell with our noses.	Vi lugter med vores næser.	for at leve livet fuldt for nye	False	0.0
No one eats meat here.	Ingen spiser kød her.	stor park nær ved vores mere kød	False	0.045454545454545456
Tom bought new laces for his shoes.	Tom købte nye snørebånd til sine sko.	Tom har købt nye snørebånd til sine	False	0.5
